competitor,competitor_product_id,competitor_product_name,competitor_product_group_name,unit,color,stem_length,stems_per_unit,unit_price,stem_price,available_units,grower_country,product_url,created_at,eta_date
Dvflora,59171,Pom Pon Blue Ocean Jade,Pom Pons,Bu,Blue,,1,5.79,5.79,18,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,23113,Peony Pink Hot Jules Elie 10st,Peony,Bu,Pink-Hot,,10,,,,New Jersey,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,23029,Peony Pink Hot Jules Elie 5st,Peony,Bu,Pink-Hot,,5,,,,Chile,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,26803,Peony Pink Hot Jules Elie 5st,Peony,Bu,Pink-Hot,,5,,,,Peony Pink Hot Jules Elie 5st,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,26229,Rose Wht Mondial 50cm Cs100,Roses-Standard,Stem,White,50,1,1.49,1.49,100,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,49103,Rose Wht Mondial 50cm Cs50,Roses-Standard,Stem,White,50,1,1.49,1.49,50,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,20247,Rose Wht Mondial 60cm,Roses-Standard,Stem,White,60,1,1.69,1.69,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,24567,Rose Wht Mondial 60cm Cs50,Roses-Standard,Stem,White,60,1,1.69,1.69,50,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,27250,Rose Wht Mondial 60cm Cs50,Roses-Standard,Stem,White,60,1,1.59,1.59,50,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,49104,Rose Wht Mondial 60cm Cs50,Roses-Standard,Stem,White,60,1,1.59,1.59,50,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,47085,Rose Wht Mondial 70-80cm,Roses-Standard,Stem,White,70,1,1.79,1.79,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,51261,Rose Wht Mondial 70-80cm DVF,Roses-Standard,Stem,White,70,1,1.79,1.79,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,50958,Pom Pon Pink Daisy Alma,Pom Pons,Bu,Pink,,1,4.29,4.29,24,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,42724,Rose Pk Mondial 50cm Cs100,Roses-Standard,Stem,Pink,50,1,1.45,1.45,100,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,53739,Rose Pk Mondial 60cm,Roses-Standard,Stem,Pink,60,1,1.65,1.65,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,47705,Rose Pk Mondial 60cm Cs100,Roses-Standard,Stem,Pink,60,1,1.55,1.55,100,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,40964,Rose Pk Mondial 60cm cs50,Roses-Standard,Stem,Pink,60,1,1.79,1.79,50,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,57049,Rose Pk Mondial 60cm x50,Roses-Standard,Stem,Pink,60,50,1.55,1.55,50,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,53740,Rose Pk Mondial 70/80cm,Roses-Standard,Stem,Pink,70,70,1.75,1.75,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,49217,Pom Pon Asst C/D/N 12pk,Pom Pons,Bu,Assorted,,1,3.79,3.79,12,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,60958,Pom Pon Asst C/D/N 12pk,Pom Pons,Bu,Assorted,,1,4.99,4.99,12,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,65544,Pom Pon Asst C/D/N 12pk,Pom Pons,Bu,Assorted,,1,3.69,3.69,12,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,23286,Pom Pon Asst C/D/N 14pk,Pom Pons,Bu,Assorted,,1,4.19,4.19,14,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,60658,Pom Pon Asst C/D/N 16pk,Pom Pons,Bu,Assorted,,1,3.29,3.29,16,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,50000,Pom Pon Asst CDN Flora 15pk,Pom Pons,Bu,Assorted,,1,3.29,3.29,15,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,18301,Pom Pon Bronze/Red CDN 12pk,Pom Pons,Bu,Assorted,,1,4.79,4.79,12,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,62864,Pom Pon CDN Assorted 6pk,Pom Pons,Bu,Assorted,,1,3.79,3.79,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,54753,Pom Pon Purple Button,Pom Pons,Bu,Purple,,1,3.69,3.69,24,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,61282,Pom Pon Purple Button 5pk,Pom Pons,Bu,Purple,,1,3.79,3.79,5,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,59054,Pom Pon Peach Button Hippie,Pom Pons,Bu,Peach,,1,4.39,4.39,12,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,67449,Rose Var Kahala 60cm,Roses-Standard,Stem,Bicolor,60,1,1.65,1.65,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,62880,Pom Pon Grn Butt Country 6pk,Pom Pons,Bu,Green,,1,4.49,4.49,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,67139,Pom Pon Grn Butt Whats App 5pk,Pom Pons,Bu,Green,,1,3.99,3.99,5,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,27070,Rose Pch Shine On 50cm,Roses-Standard,Stem,Peach,50,1,1.49,1.49,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,23182,Pom Pon White Button,Pom Pons,Bu,White,,1,4.19,4.19,24,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,23344,Pom Pon White Button 12pk,Pom Pons,Bu,White,,1,4.99,4.99,12,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,23131,Pom Pon White Button 5pk,Pom Pons,Bu,White,,1,3.89,3.89,5,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,62878,Pom Pon White Button 6pk,Pom Pons,Bu,White,,1,4.49,4.49,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,29040,Rose Yel Tara 50cm,Roses-Standard,Stem,Yellow,50,1,1.79,1.79,25,South America,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,51073,Rose Yel Tara 50cm Cs50,Roses-Standard,Stem,Yellow,50,1,1.39,1.39,50,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,52941,Rose Yel Tara 60cm Cs50,Roses-Standard,Stem,Yellow,60,1,1.49,1.49,50,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,23187,Pom Pon Yellow Button,Pom Pons,Bu,Yellow,,1,4.59,4.59,24,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,23245,Pom Pon Yellow Button 5pk,Pom Pons,Bu,Yellow,,1,3.79,3.79,5,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,62879,Pom Pon Yellow Button 6pk,Pom Pons,Bu,Yellow,,1,4.99,4.99,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,50976,Pom Pon Lav Dotty Cherry 6pk,Pom Pons,Bu,Lavender,,1,5.19,5.19,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,23254,Pom Pon Lav. Button,Pom Pons,Bu,Lavender,,1,4.59,4.59,24,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,62881,Pom Pon Lav. Button 6pk,Pom Pons,Bu,Lavender,,1,5.09,5.09,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,18300,Pom Pon White Micro Whynot 12p,Pom Pons,Bu,White,,1,4.99,4.99,12,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,52162,Pom Pon White Micro Whynot 6pk,Pom Pons,Bu,White,,1,5.49,5.49,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,46850,Rose Yel Stardust 50cm,Roses-Standard,Stem,Yellow,50,1,1.49,1.49,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,46851,Rose Yel Stardust 60cm,Roses-Standard,Stem,Yellow,60,1,1.59,1.59,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,52940,Rose Yel Stardust 60cm Cs50,Roses-Standard,Stem,Yellow,60,1,1.49,1.49,50,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,23210,Pom Pon Asst C/D/N 12pk,Pom Pons,Bu,Assorted,,1,4.29,4.29,12,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,62884,Pom Pon Novelty Ying Yang 6pk,Pom Pons,Bu,White,,1,4.19,4.19,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,23113,Peony Pink Hot Jules Elie 10st,Peony,Bu,Pink,,10,,,,New Jersey,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,23029,Peony Pink Hot Jules Elie 5st,Peony,Bu,Pink,,5,,,,Chile,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,26803,Peony Pink Hot Jules Elie 5st,Peony,Bu,Pink,,5,,,,Peony Pink Hot Jules Elie 5st,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,69112,Rose Sal Dragonfly 40cm,Roses-Standard,Stem,Salmon,40,1,1.39,1.39,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,69113,Rose Sal Dragonfly 50cm,Roses-Standard,Stem,Salmon,50,1,1.89,1.89,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,69114,Rose Sal Dragonfly 60cm,Roses-Standard,Stem,Salmon,60,1,1.99,1.99,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,47798,Rose Sal Amsterdam 50cm,Roses-Standard,Stem,Salmon,50,1,1.45,1.45,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,54364,Rose Sal Amsterdam 50cm Cs50,Roses-Standard,Stem,Salmon,50,1,1.35,1.35,50,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,54365,Rose Sal Amsterdam 60cm DVF,Roses-Standard,Stem,Salmon,60,1,1.79,1.79,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,40732,Rose Wht Moonstone 50cm,Roses-Standard,Stem,White,50,1,1.59,1.59,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,40733,Rose Wht Moonstone 60cm,Roses-Standard,Stem,White,60,1,1.69,1.69,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,59173,Pom Pon Blue Ocean Sapphire,Pom Pons,Bu,Blue,,1,5.79,5.79,18,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,58697,Pom Pon Yellow Daisy Celeb.6pk,Pom Pons,Bu,Yellow,,1,4.99,4.99,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,59170,Pom Pon Blue Ocean Coral,Pom Pons,Bu,Purple,,1,5.79,5.79,18,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,28793,Rose Yel Gelosia 40cm Cs50,Roses-Standard,Stem,Yellow,40,1,0.99,0.99,50,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,59170,Pom Pon Blue Ocean Coral,Pom Pons,Bu,Deep Purple,,1,5.79,5.79,18,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,59170,Pom Pon Blue Ocean Coral,Pom Pons,Bu,Blue,,1,5.79,5.79,18,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,58646,Pom Pon Santini Prp Caddy 6pk,Pom Pons,Bu,Purple,,1,4.79,4.79,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,54737,Pom Pon Santini Katty 6pk,Pom Pons,Bu,White,,1,3.99,3.99,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,67616,Pom Pon Santini Wht Katty 14pk,Pom Pons,Bu,White,,1,4.19,4.19,14,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,59671,Pom Pon Santini Asst 6pk,Pom Pons,Bu,Assorted,,1,3.29,3.29,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,23324,Pom Pon Santini Pink Frenzy,Pom Pons,Bu,Pink,,1,3.49,3.49,24,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,23324,Pom Pon Santini Pink Frenzy,Pom Pons,Bu,Lavender,,1,3.49,3.49,24,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,54573,Pom Pon BiColor Daisy Starfire,Pom Pons,Bu,Bicolor,,1,3.89,3.89,24,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,67629,Pom Pon Santini Yellow Juicy,Pom Pons,Bu,Yellow,,1,3.69,3.69,24,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,58685,Pom Pon Santini Ylw OkiDoki 6p,Pom Pons,Bu,Yellow,,1,4.79,4.79,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,54744,Pom Pon Pink Daisy Atl. 5pk,Pom Pons,Bu,Pink,,1,3.79,3.79,5,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,59337,Pom Pon Pch Dsy Tequila Sunr.6,Pom Pons,Bu,Peach,,1,5.19,5.19,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,54702,Pom Pon Peach Daisy 6pk,Pom Pons,Bu,Peach,,1,3.99,3.99,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,23266,Pom Pon Purple Daisy,Pom Pons,Bu,Purple,,1,3.69,3.69,24,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,21569,Pom Pon Purple Daisy 5pk,Pom Pons,Bu,Purple,,1,3.89,3.89,5,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,62876,Pom Pon Purple Daisy 6pk,Pom Pons,Bu,Purple,,1,3.89,3.89,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,60677,Pom Pon White Daisy Reagan 5pk,Pom Pons,Bu,White,,1,4.49,4.49,5,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,54786,Pom Pon Yellow Daisy,Pom Pons,Bu,Yellow,,1,3.69,3.69,24,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,58683,Pom Pon Ylw Daisy Ylwstone 6pk,Pom Pons,Bu,Yellow,,1,3.59,3.59,6,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,42353,Pom Pon Orange Reagan Daisy,Pom Pons,Bu,Orange,,1,,,,Colombia,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,29963,Rose Wht Playa Blnca 40cm,Roses-Standard,Stem,White,40,1,1.49,1.49,25,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
Dvflora,57044,Rose Wht Playa Blnca 50c Cs100,Roses-Standard,Stem,White,50,1,1.79,1.79,100,Ecuador,https://shop.dvflora.com/cgi-bin/dv.sh/nfprod-list.w?CustCode=DVGuest,2025-05-28,2025-06-05
