product_name,variety
Pink Matsumoto Rose Aster,7e30ca03-9962-4e3a-ac97-1b31a9687dfc
Green Sword Fern,71faa0c2-ae18-44e6-835d-12c716270509
Mixed Assorted Peony,1645ee90-87c9-4b29-ab3c-a81b6ba16fb3
Yellow Jumbo Billy Balls,1d87d4cd-937a-49e0-883b-36ca170f011d
Mixed Assorted Lisianthus Double,0767b5f8-b257-4c86-9940-a4aa574fa955
Brown Machiatto Roses Tinted/Dyed Toppings,0aaa2c58-c52d-4c27-9a1e-b1adbdbbe9da
Burgundy Kangaroo Paws,15234448-eea5-4915-a154-3b7cf733ecaa
Purple Dark Stock,a5d33434-71a0-4664-aec5-50b067a5267a
Lavender Campanula,7b518998-48d0-4a60-a926-6d318cfcf2c5
Green Rosemary,1ddb93ed-7972-4a7d-aaf0-3596da910d3f
White Majolika Spray Roses,f740603f-e493-4a07-a9e7-cc73c854215b
Pink Absolute Roses,aed08d76-4782-479f-8426-9f93e180ebbe
Pink Fabulous Carnation,a90e4a53-ba46-4188-950f-836a42c5d05f
Fuchsia Bunny Tail Fucsia Dried And Preserved Flowers,616a4aab-cd2d-494b-ac84-8bca0ac102ec
Cream Amelia Roses,4e8bcd2d-6297-4385-874d-9b97658d743a
Bronze Upright Amaranthus,02cddc93-7f3d-4b99-bd4e-f702a38dc3ae
Yellow Carnival Solidago Gold Aster Spray,80f05699-3213-432e-b3fa-1997c50a00c8
Green Mini Hydrangea,c0fec9c6-6759-4451-bf4e-8b13b3312bf0
Salmon Cremon Oefa Chrysanthemum Disbuds/ Mums,63660399-f612-4adc-b234-41d47ba20b41
Green Molucella Bells Of Ireland,7a807e5f-c371-4970-ba7c-0382161d9a1e
Pink Pigeon Mini Carnation Spray,6d700333-24b9-422c-952b-b4a81ec26398
Pink Coral X Pression Garden Roses,8ff7a561-a979-4e34-a951-25c1fb150400
Green Gray Knifeblade Acacia,65454f6b-8f35-4c7f-aebd-fa5abc5a9db8
Silver Leatherleaf,e0da15bb-9cbd-495b-b3fb-97202a1b7609
White Alstroemeria,92c8392a-1f77-4782-8a7c-4082f369cdcb
Pink Floyd Roses,c5de60f2-0625-423b-81c6-ca5abf7b9295
Green Griffithii Bupleurum,85a9e36f-0554-456a-b051-dccb8bc6dfdd
Mixed Assorted Alstroemeria,c93bbc06-a172-494d-b352-4ad50f082de1
Lavender Blue Moon Spray Roses,44560f6d-c593-4883-8519-c89377e85582
Orange Dorito Gerbera Mini,640347f3-6ec4-4e44-a35d-ea90d5dd47f6
White Zambesi Bl Lilies Ot Hybrids,d620c33d-54fd-4267-a46c-69122a978838
Pink Super Hypericum,b2e2800c-8bf2-4a4a-8973-d0ab91a5829b
Green Ivanhoe Grevillea,4f0b3a22-9c85-47ec-b70f-b872c17f7b0a
Green Jervis Bay Agonis,b516bc6e-3a0b-4bd9-91dd-8f7edb27267b
Pink Bon Focal Scoop French Vanilla Scabiosa,28880055-feb9-427b-8c7f-f1b0828d5656
Green Cocculus,38e27336-fc0a-4a08-b78f-bf8f7533511d
Green Nagi Foliage Podocarpus,6a485b7e-b37c-4629-8530-d51687584b66
Peach Ranunculus,08320617-cca0-4f84-a580-15a157ccc316
Pink Imre Dianthus,78518606-0837-4da8-bc1a-429bd0e77e94
Variegated Ivy,4b4dc3e4-af36-4f04-b23f-0f13a6eedae6
Green Umbrella Palm,7e5d184a-8ae0-4a7b-b07c-c06e8135dc16
Mixed Assorted Spray Roses,104c7d2f-c536-4011-8c8d-fdfd8ba7f2dd
Pink Bella Alstroemeria,1c2bc235-a941-4a78-8e71-80aac909b972
Green Dragon Pennycress,1e2ced9e-8701-4443-96f3-ca39d867fc49
Brown Pods Stellata Scabiosa,c57bf97f-faaa-49c5-bca6-efaf5725c48a
Mixed Assorted Stock,f11f483a-e25b-4660-9544-e7a7598fce04
Yellow Ocre Carnation,f0b99943-784a-4a34-964e-f170476b7644
Pink Sweet Akito Roses,62f613ba-1da6-4a85-a41e-001799eba0d9
Pink Jodie Carnation,c5bd3026-9438-45f5-85ef-a3ffd6bc137a
Red Explorer Roses,41a167bd-bf87-4f11-8afa-1c9cbb3a3cca
White Mistral Plus Panda Anemone,e56327e5-2632-40da-ac60-f9da0cb6179b
White Spider Chrysanthemum Disbuds/ Mums,ab9a1708-8f89-40fa-a6a2-4988bf91fede
Cream Sweet Elegance Roses,068817e0-392b-4a9c-b6f9-051c05f2666c
White Bounty Alstroemeria,be275096-f622-49b1-8848-6e2491cf332e
Bronze Bombon Chrysanthemum Disbuds/ Mums,756fd4e1-8aaf-4e88-9a18-4c772b86972f
Pink Art Deco Roses,821f52ef-bec0-49b4-b9a9-75c0f3f0d508
Variegated Emerald Select Hydrangea,ca925719-4595-40e7-98d6-1cb766d6ec9e
Purple Blackberry Scoop Scabiosa,44cf52be-96df-49d2-a9d9-a26ef46978d5
Peach Tiffany . Roses,9aa80507-45f2-4226-b8a1-bcd1c07a82b6
Purple Blue Lisianthus Double,27c24034-82fe-42f6-ae20-6e86c3bf2d2b
White Viviana Spray Roses,6b6e9281-7110-46a0-ba46-c3141ed4207e
Purple Larkspur,040a963f-be56-4a95-982d-485ac6cb1c3f
Purple Cremon Andrea Chrysanthemum Disbuds/ Mums,29d564d6-2845-4029-8f35-9c854cd0de84
Burgundy Zurigo Carnation,6842cf5e-5e8b-47fa-9eaa-d31546c0b515
Green Vaccum Pack Leatherleaf,fdbf3fd2-7aa9-4b05-b094-36cacf09c768
Yellow Beausolei Bl Lilies La Hybrids,dfd5ddf1-f461-46dd-bd95-ebfd9e1c19b1
Peach Novia Carnation,0db2a31e-87ca-4ac6-b067-4276beebd94a
Pink Kisses Queen Annes Lace,bbe92d42-e3fa-432a-81a5-2103b8d586d2
Pink Elba Spray Roses,532abc20-d821-40cb-8e46-14855bd0c514
Lavender Moody Blues Roses,e865e5d2-b621-4c0d-9bf3-274e831a2c2e
Orange Boiro Carnation,dd639b99-e48a-4b4c-9367-ee0487e96247
Yellow Petite Sunflower,dca6f013-6af9-4c2c-93fd-67e13e8df8e6
Red Old Faithful Peony,979d0804-feb6-42d9-865a-e19a5cd9ed69
Yellow Elegance Creme Ranunculus,774642a7-40d3-48c6-80f8-c356e766d298
White Carnival Solidago Aster Spray,d461d345-8bb6-4224-a677-03fd9f9c14df
White Premium Head Size Hydrangea,e3cfd3c4-3704-4b90-8a7f-7806ab2ed261
Blue Safora Limonium,8d2725c3-573c-4818-a924-4fbbaa575d53
Purple Kisses Queen Annes Lace,ffc7166c-2fa5-4c92-a451-6adf39be6ba3
Purple Mid Stock,7dfbbfc6-f941-4da2-b4b1-d9f9ea940472
White Mia Roses,19bac164-cbc5-4c44-ace9-1ce7478bc79a
White Milky Scoop Scabiosa,d5f7aa0e-8ef7-4032-b945-e492bf84a175
Pink Wedding Rosever Spray Roses,8b034beb-ff88-4659-b63c-088aa0e2bbff
Green Shamrock Dark Select Hydrangea,f4beada9-63f7-43d4-8e99-899d482e3668
Orange Salmon Ranunculus,8cffe044-c25e-4e90-aae4-136c4776bf3b
Orange Marigold,c36a3d53-7125-416e-8996-395df577e9bf
White Floreana Spray Roses,8fa753ab-5273-4115-962a-3e5688f4db42
Lavender Solidago Lavender-Aqua Aster Spray,999c27b9-f464-4fb5-a0f1-b9e09aefc303
Gold Mustard Carnation,37d05205-a20e-47ac-8336-20c780e14370
White Veronica,1767e95a-c83f-4fdb-b85d-27157a044a90
White Polar Star Roses,37de2343-09c4-4489-aabe-7320267e58d6
Mixed Christmas Assorted Garden Roses,648811f3-84b3-4852-8dca-accd3e3f33d2
White Sunrio Aster,eca4c5d8-f42a-4c7b-a042-13857053a9c3
Lavender Purple Haze Roses,2a2ae2e0-5f61-45d7-a72b-07e402178db5
Green Liriope Grasses,413fd4f2-3388-43b7-8976-cc48dbd6423e
White Chocolate Roses,523e19fa-b9d3-4196-a90c-ce1b28b2820c
Yellow Sunrich Gold Select Sunflower,29435c50-ac8b-49c2-9d4d-444b40ebdf2e
Pink Star Blush Jumbo Spray Roses,c4aa4331-f59e-40ae-95cb-236235dfc2a1
Green Ball Dianthus,5600b344-6f44-4071-8d2b-0651f4ed50b8
Red Nirvana Alstroemeria,100ca1ab-b396-4dd9-ba41-535b5219529c
Lavender Silver Mikado Spray Roses,3d2ac2c5-aa16-4cd3-ad4e-f2afc3576c12
Pink Mayras Queen Garden Roses,4fc3b39c-7361-4f77-bf42-6169eb28c506
Green Bear Grass Grasses,43118535-ce2a-4a7e-ab91-392771ac91ba
Green Leatherleaf Xl,adcded7b-722d-4fae-9af0-f3cb8890a65a
White Be True Garden Spray Roses,8963bdca-6a9b-4c86-b80e-ea5ac950cedb
Pink Safora Oshi Limonium,7fc9b8e0-d413-4207-a841-bd5bbc51d75d
Red Rony Mini Carnation Spray,6959098e-1c24-467e-936a-a5ccc4052ae8
Mixed Ohara Assorted Garden Roses,27704de6-89b4-4baf-b4bd-b590eac17dd6
Pink Nobbio Gelato Carnation,a6ec9b77-a407-4061-9164-dc26689e5f59
Mixed Carnation Assorted,f829aa58-42d0-4a8c-9fc2-cf7b57d99cb3
Pink Schubertii Allium,f1a6c73c-9e99-4532-b97f-d3fee9459e5e
Mixed Assorted Stock,0f6112ef-bf40-4bc4-a053-f6766e388199
Purple Solidago Aster Spray,8a888e5d-5b55-41d9-863e-c26cfe3fdd78
Pink Pic Nic Roses,6c758d3f-cfb0-4212-9431-ea84ee8d53a7
White Guardian Delphinium,3987f9c7-3911-4938-8ac5-a43064c26608
White Planet Blush Pink Delphinium,4f04e2df-c239-48b7-bb91-c165fc93f790
Pink Purple Cezanne Roses,c026fc29-8550-43ae-a52d-0f666c83da81
Green Variegated Pittosporum,ec8ff4d3-9ebb-46ff-ba2d-3dffcbb1d1a9
Yellow Butterfly Helios Ranunculus,ca56e59f-c56a-4b81-a4b2-4a1f5c054de2
Bordeaux Star Or Love Astrantia,513bcc5d-cb36-4048-a81b-2945cb4819c8
White Matsumoto Aster,c38a132b-36e9-49db-ac66-d3f401dc8a9b
Peach Stock,1497f7fe-776d-4f1f-b891-dbb609a82ef5
Green Mist Queen Annes Lace,101630b4-0e42-474f-a4dd-ea43cb32a18b
White Elegance Ranunculus,f3014234-8c56-43ea-869c-f26b3b559fd5
Green Cypress,911bf133-f9d2-4929-a56d-b36f9fa79130
Green Button Chrysanthemum Spray Pom,5d3a1bfe-8d9c-4354-a3bc-b0f5b05a2557
Purple Antique Jumbo Hydrangea,94e9a9a3-6c39-4416-9eea-dcb2b2084faa
Blue Hybrid Light Delphinium,64e69fab-30f4-4f0e-8729-cdbc8e4c307e
Green Tips Salal,7ba2b9f4-4ea4-4620-946d-d9228d4adff0
Pink Ilse Spray Roses,21a26ff3-2ec2-442f-85dd-8b0f0b264cc3
Pink Cremon Lotus Chrysanthemum Disbuds/ Mums,bd1fc095-a749-4891-9691-293c62b819d8
Purple Bayola Anemone,e0b1fab3-97dd-42f8-96f0-1370899eb4f9
Peach Shimmer Roses,30f161ca-f066-4432-8b5e-b0f24e4a36e5
White Symphony Aster,763b445d-260c-4812-8033-af8535c06381
Pink Campanella Garden Roses,cd54c9dd-444a-45e6-93c1-b1c02ceb20af
Pink Mondial Roses,452eeb34-2851-4dd6-82ae-a37402468c65
Brown Coffee Milk Roses Tinted/Dyed Toppings,26f88423-7f53-4415-8ec8-3e05a43addcb
Blue Roses,309dff34-4b01-4ab1-bce8-bc22a25b37db
Blue Select Hydrangea,bfde682f-72a5-49a9-a0c4-85eab68f8469
Pink Inspiration Clematis,118603b5-48ba-4b6b-adb3-04e398bc8041
Mixed Fall Assorted Carnation,c6a01b36-8e4d-4d46-9cf7-9afee53c4fda
Green Leatherleaf,5233d093-4636-409e-bb20-d383b9d3ba20
Orange Amiga Bl Lilies La Hybrids,2b86da6b-2dab-43ac-94df-6630aa98a73b
Yellow Van Gogh Black Center Sunflower,3c8ff81b-208d-42cd-bcac-7317b38748c3
Pink Elegance Hot Ranunculus,2d7083c2-fadb-4a2f-acb8-899b7a343306
Red Cremon Velvet Chrysanthemum Disbuds/ Mums,b381c3a2-626a-47f3-9f3c-78314489d68a
Lavender Grey Knights Roses,23e03356-ca36-410e-b955-42c92c8d2ba0
Pink Catalina Rose Lisianthus Double,23f87d4c-2ead-4dc5-8a25-e0544a60ed3d
Purple Sungal Aster,d95083f1-5e35-4e5b-9efe-91fe064d6fd1
Red Checkmate Roses,fcdae764-f755-415d-a9e6-8336bed213c1
White Mondial Roses,efe6352a-651c-4f0b-b4c1-3033d25ec988
Cream Quicksand Roses,12a5d6ab-de33-4820-898c-f4087830082f
Red Curtains Velvet Amaranthus,e690c49d-4cdb-4513-9890-0e68b64f6cf1
Salmon Apricot Parrot Tulips,be63d8c6-aa99-4cb4-9df4-dad3f77ff7e9
Pink Primadonna Alstroemeria,28dd0db2-a9c8-40d4-8a08-b7665a4dc6c2
Orange Alstroemeria,077cead9-23ad-4026-a9a8-98955982c9da
White Campanula,dec568b5-e939-43a6-9354-368a663f6430
Pink Hot Folies Spray Roses,c20aed2b-f047-4e4c-a8c4-186db5522979
Red Full Star Anemone,df69988d-ba2f-4bd0-b51e-e5dd4b68491a
Red Frank Preserved Roses,a13f4a55-7b26-491a-aa84-afbdd543f9c2
Pink Hot Ranunculus,e2f7e702-dd3c-4d59-a090-0c69d0cd28cb
Yellow Snapdragons,24646e4f-a78c-4152-8275-2a8d885f79b7
Yellow Potomac Early Snapdragons,8f3a8d68-3e6a-4e42-aa87-1eac33e972ad
Green Tree Fern,12f0a153-0e30-492d-bf04-7dcdb3f964cc
Cream Bunny Tails Dried And Preserved Flowers,1e8fc393-7ef3-4c79-9537-f4658f1e58b6
Yellow Sunbright Extra Sunflower,3b818e49-b064-4936-9d58-baa9ff44056c
Pink Magical Majestic Hypericum,6ff07eb0-72ad-42f0-89f1-12978729be61
Lavender Solomio Bono Purple Dianthus,843b2dec-56d3-4528-8622-5acb63b2db43
White Cocculus Pure Dried And Preserved Flowers,49840e88-c03a-4675-aada-f854cde76355
White Everest Carnation,fdf28294-dac7-43b6-bffa-b981a943b005
Orange Hamada Mini Carnation Spray,3f9ca942-1c0a-4178-8618-e26ddb9c4676
Green Silver Dollar Eucalyptus,9518d2d8-d613-4e76-8cbc-67715053315b
Purple Stock,3e93f0c4-b325-4a21-ba3e-24062578698e
Yellow High & Magic Roses,3d79707e-8248-40c3-b2c6-468ee560e909
Pink Hermosa Roses,b38833fc-ce8d-491b-8706-d06b7b06ed45
Lavender Bicolor Alstroemeria,16828c78-76a0-4073-8dd4-8e1f745736c9
Purple Kale,0f09ec74-a543-4259-b28b-836a20092b2b
Orange Kahala Roses,f778feaf-4a0b-46bb-b961-b067946bcdb8
Bronze Toffee Roses,023b9270-dbf2-42e5-bf03-d3d0b2d95d6a
Pink Mother Of Pearl Roses,c7115ff9-51a8-4896-b691-56fcf3e2e55d
Pink Hot Mini Carnation Spray,761eb3d0-4d87-4597-8c7e-6dee90ff7ef0
White Calla's,3a1cb51b-0f27-4ac9-ba38-1243ba2e897c
Orange Ranunculus,a5584e7d-10a9-41fb-9dc9-5a1e51371704
White Sand Castle Roses,d5dc4ad7-4ac0-462c-bb9f-261975886eea
Red Wanted Garden Roses,e71a182f-23a8-4472-88e9-2143c64f9f71
Peach Carnation,7930d085-6b9d-4ed5-9ea4-30b0e9367ffd
Burgundy Cushion Rock Chrysanthemum Spray Pom,4864aa06-0c90-4d09-b01b-ea8fe8ef8e36
White Select Hydrangea,fb05cbba-399c-4a41-b02d-d660f746d4d5
Brown Safari Sunset Leucadendron,07cb304d-b1f1-4ee0-a7ba-c56300339054
Blue Sky Waltz Light Delphinium,4a698b0a-ca5b-4aca-b2b3-676fe95b2563
Pink Yves Piagetgarden Roses,14ce3597-683f-48a0-8fb5-9c6fb1579727
Pink Light Spray Roses,2c6ffec5-aff6-4bed-8f21-1c1355ad0823
Lavender Deep Purple Roses,7700981c-8639-4a6b-ac12-8f4577aac4ff
Purple Bella And White Alstroemeria,8e966cf7-65ad-4ea3-a457-c4dc0d9d054e
Peach Phoenix Garden Roses,b6eb66ea-0436-412f-a3c4-3a3933af8390
Blue Sea Waltz Delphinium,e0089c8c-6245-41a3-b61c-9c07e0642f2d
Pink Symphony Light Carnation,35b2fa06-41f5-4018-b316-4e339c1f410d
Mixed Novelty Assorted Mini Carnation Spray,adebc370-4123-4bf4-b2b3-6563b2d33781
White Premium Hydrangea,72458294-f809-4623-8369-cb4ff29e3885
Yellow Brighton Roses,6cf94d7e-0d53-4cf4-b734-d3909bda388d
White Full Star Anemone,1c06c838-bb58-4f31-bd0e-abe1c6f05ebb
Yellow Elegance Giallo Ranunculus,335b48f8-0dd1-4971-81a9-c1442530a883
Lavender Butterfly Tiva Ranunculus,ebe63153-f51e-4b41-b26b-f3991a61ad66
Pink Cushion Chrysanthemum Spray Pom,5ec5c22f-bd2c-4fb9-ad33-72c3df5ddced
Purple Sunshine Spray Delphinium,bdcae232-aa43-4288-9a1a-d31fbcd2d696
Blush Priority Garden Roses,78fcc125-7a90-4884-904a-828be3068ff4
Salmon Natures Cherry Roses,08b38572-426b-41b1-bc83-40949d411bf2
Bronze Spider Fuego Chrysanthemum Disbuds/ Mums,add6efd9-b6ed-491b-8145-95c992bb8626
Cream Carnival Solidago Estelle Aster Spray,ae83c765-8f00-4eb6-9996-c311b0d62144
Blush Butterfly Ariadne Ranunculus,44a097e5-06f8-4e18-ae0e-d15e51e39ce1
Blush Focal Baby Pink Scabiosa,621cb7bb-c6a7-4b38-8fc3-d9561411371a
Pink Full Monty Garden Roses,76b584fc-bea8-430b-8353-e5e98474c53a
White Elatum River Delphinium,f101a24a-7fa0-4f0d-b095-395e4634a7fe
White Anastasia Roses,df575412-0607-4cba-986b-13f851f38383
Orange Elegance Clementine Ranunculus,3c71db7d-3544-4436-9155-7cf77fa511d1
Pink Faith Roses,2bef2294-90df-49da-8bfd-0ee960791b68
Orange Tropical Freesia Single,10bdab5f-134f-4ecc-996e-7887e5622173
Green Kehla Garden Roses,cab72a60-5c99-4bf0-87a0-da944ceb2614
Pink Light Astrantia,2866cb45-f725-4a0a-bd05-bd142052a02a
Green Seeded Eucalyptus,c3fc1f21-7ce7-4142-8b57-189bc1d070b5
Peach Ilse Spray Roses,db592b1e-d54e-4093-82f5-13db501724f5
Yellow Cream Stock,a497a6b3-f5f0-46c8-98b9-30a4ed980292
White Snapdragons,fcb9d70c-f2c5-4ca0-9eff-0759f19d93c3
Lavender Precious Moments Garden Roses,5e15a64f-e19e-4a00-8243-da65e4b743a6
